TAN,NH3T,NO2,NO3,PO4,SULFURO,ALK,PH,TEMP,SALINIDAD,R_NP,ID_PISCINA,ID_CASO,PREDICCION_NRS,CONFIANZA_MODELO,RECOMENDACION_GENERAL,ALERTAS_PRINCIPALES,FECHA_REGISTRO,ACCION_TOMADA,RESULTADO_REAL,ESTADO_CASO
1.0,0.176,0.263,1.68,0.93,0.06,326.0,8.5,27.5,5.0,4.03,CAM-15,1,MEDIO,68.0,Mantener monitoreo cercano y corregir los parámetros fuera de rango antes de que el riesgo escale.,TAN ↑: Por encima del rango aceptable; NH3T ↑: Por encima del rango aceptable; PO4 ↑: Por encima del rango aceptable,2026-05-15 03:39:13,Recambio de agua,Mejoró,CERRADO
1.45,0.207,0.165,1.51,1.25,0.04,186.0,8.4,27.2,5.0,3.67,CAM-21,2,ALTO,96.0,"Activar revisión técnica prioritaria, validar mediciones críticas y definir acción correctiva inmediata.",TAN ↑: Por encima del rango aceptable; NH3T ↑: Por encima del rango aceptable; PO4 ↑: Por encima del rango aceptable,2026-05-15 03:40:35,Aplicación de biorremediacion,Se mantuvo igual,CERRADO
0.72,0.179,0.158,1.47,1.3,0.06,334.0,8.7,27.2,5.0,2.19,CAM-3,3,ALTO,92.0,"Activar revisión técnica prioritaria, validar mediciones críticas y definir acción correctiva inmediata.",NH3T ↑: Por encima del rango aceptable; PO4 ↑: Por encima del rango aceptable; R_NP ↓: Por debajo del ideal,2026-05-15 03:41:50,Aplicación de bacterias,Mejoró,CERRADO
1.4,0.132,0.313,1.4,1.02,0.09,332.0,8.5,27.0,4.0,4.44,CAM-46,4,ALTO,88.0,"Activar revisión técnica prioritaria, validar mediciones críticas y definir acción correctiva inmediata.",TAN ↑: Por encima del rango aceptable; NH3T ↑: Por encima del rango aceptable; PO4 ↑: Por encima del rango aceptable,2026-05-15 03:43:59,Reducción de alimentación,Requirió intervención adicional,CERRADO
0.5,0.086,0.112,1.67,1.31,0.04,3.6,8.5,27.0,4.0,1.86,CAM-49,5,ALTO,78.0,"Activar revisión técnica prioritaria, validar mediciones críticas y definir acción correctiva inmediata.",PO4 ↑: Por encima del rango aceptable; R_NP ↓: Por debajo del ideal; ALK ↓: Por debajo del rango aceptable,2026-05-15 04:10:17,Aplicación de bacterias; Aplicación de carbonatos,Sin resultados observados,PENDIENTE
0.08,0.009,0.059,1.723,0.34,0.04,215.0,8.32,25.1,23.0,4.24,CAM-25A,6,BAJO,55.0,Mantener seguimiento rutinario y registrar evolución de parámetros.,PO4 ↑: Por encima del rango aceptable; R_NP ↓: Por debajo del ideal; pH ↑: Por encima del rango informativo ideal,2026-05-15 04:18:59,Recambio de agua,Sin resultados observados,PENDIENTE
1.85,0.076,0.026,0.93,0.22,0.08,115.0,7.94,24.2,24.0,22.67,CAM-25B,7,ALTO,40.0,"Activar revisión técnica prioritaria, validar mediciones críticas y definir acción correctiva inmediata.",TAN ↑: Por encima del rango aceptable; ALK ↓: Por debajo del rango aceptable; TEMP ↓: Por debajo del rango ideal,2026-05-15 04:21:09,Aplicación de biorremediacion; Aplicación de bacterias,Sin resultados observados,PENDIENTE
0.17,0.007,0.03,0.68,0.23,0.04,135.0,7.95,23.8,25.0,3.9,CAM-5,8,BAJO,68.0,Mantener seguimiento rutinario y registrar evolución de parámetros.,R_NP ↓: Por debajo del ideal; ALK ↓: Por debajo del rango aceptable; TEMP ↓: Por debajo del rango ideal,2026-05-15 04:24:25,Ninguna,Sin resultados observados,PENDIENTE
0.27,0.01,0.072,0.957,0.57,0.03,125.0,7.92,23.6,23.0,2.39,CAM-6,9,MEDIO,55.0,Mantener monitoreo cercano y corregir los parámetros fuera de rango antes de que el riesgo escale.,PO4 ↑: Por encima del rango aceptable; R_NP ↓: Por debajo del ideal; ALK ↓: Por debajo del rango aceptable,2026-05-15 04:25:46,Aplicación de bacterias; Corrección química,Sin resultados observados,PENDIENTE
0.37,0.112,0.079,0.89,0.91,0.05,175.0,8.75,29.5,5.0,1.71,CAM-7,10,MEDIO,56.0,Mantener monitoreo cercano y corregir los parámetros fuera de rango antes de que el riesgo escale.,NH3T ↑: Por encima del rango aceptable; PO4 ↑: Por encima del rango aceptable; R_NP ↓: Por debajo del ideal,2026-05-15 04:26:44,Aumento de aireación; Aplicación de bacterias,Sin resultados observados,PENDIENTE
